"Source:"	"C:\Users\BodeRu\WorkspaceKiCAD\cbEval.ATtiny412_1614\cbEval.ATtiny412_1614.kicad_sch"
"Date:"	"07.04.2021 15:37:45"
"Tool:"	"Eeschema (5.99.0-10141-g7d9ee76f64)"
"Component Count:"	"55"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C1"	"100n"	"C.Kemet.MLCC.0805.X7R:100n"	"Capacitor_SMD:C_0805_2012Metric"	"Surface Mount Multilayer Ceramic Chip Capacitors (SMD MLCCs)"	""
"C2"	"FixMe"	"C.Kemet.MLCC.0805.COG:FixMe"	"Capacitor_SMD:C_0805_2012Metric"	"Surface Mount Multilayer Ceramic Chip Capacitors (SMD MLCCs)"	""
"C3"	"FixMe"	"C.Kemet.MLCC.0805.COG:FixMe"	"Capacitor_SMD:C_0805_2012Metric"	"Surface Mount Multilayer Ceramic Chip Capacitors (SMD MLCCs)"	""
"C4"	"100n"	"C.Kemet.MLCC.0805.X7R:100n"	"Capacitor_SMD:C_0805_2012Metric"	"Surface Mount Multilayer Ceramic Chip Capacitors (SMD MLCCs)"	""
"C5"	"4n7"	"C.Kemet.MLCC.0805.X7R:4n7"	"Capacitor_SMD:C_0805_2012Metric"	"Surface Mount Multilayer Ceramic Chip Capacitors (SMD MLCCs)"	""
"D1"	"E682KRKGWT"	"D.LED:E682KRKGWT"	"LED_SMD:LED_Avago_PLCC4_3.2x2.8mm_CW"	"LED GREEN/RED DIFFUSED"	""
"H1"	"CIME.E.BE3500S.1x"	"H.Housing:CIME.E.BE3500S.1x"	"BTech.Housing:Camdenboss.CIME.E.BE3500S.1x"	"Euro Series 107mm Empty Modular Interface Support"	""
"H2"	"Stripfield-4x4"	"PCB:Stripfield-4x4"	"BTech.PCB:Stripfield-4x4"	""	""
"H3"	"Stripfield-4x4"	"PCB:Stripfield-4x4"	"BTech.PCB:Stripfield-4x4"	""	""
"J1"	"Bergstik-II_3"	"J.PinHeader:Bergstik-II_3"	"Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"	"Jumper, 3-pole, open"	""
